"","Name","Ratings","Language","Year","Num_of_episodes","Genre","Duration","Network","Director","Screenwriter","Top_cast"
"https://mydramalist.com//62495-untitled","Live On","8.2","Korean",2020,8,"Comedy,Romance,Youth,Drama","Duration: 1 hr. 3 min.","WeTV,Viki","Kim Sang Woo","Bang Yoo Jung","Jung Da Bin,Hwang Min Hyun,Noh Jong Hyun,Yang Hye Ji,Yeonwoo,Choi Byung Chan"
"https://mydramalist.com//51325-the-search","Search","8.2","Korean",2020,10,"Military,Thriller,Mystery,Horror","Duration: 60 min.","Viki","Goo Mo,Go Myung Joo","Im Dae Woong","Jang Dong Yoon,Krystal Jung,Yoon Park,Lee Hyun Wook,Moon Jung Hee,Choi Yoon Je"
"https://mydramalist.com//55993-qing-qing-zi-jin","Qing Qing Zi Jin","8.2","Chinese",2020,40,"Historical,Comedy,Romance,School","Duration: 45 min.","Viki,KUKAN,MQ Media USA","Historical,Comedy,Romance,School","Xu Fei","Fan Shi Qi,Rain Lu,Xie Bin Bin,Yan Yi Yi,Huang Xuan Wen,Fortuna Yu"
"https://mydramalist.com//39277-my-story-is-long","Ore no Hanashi wa Nagai","8.2","Japanese",2019,10,"Comedy,Life,Drama,Family","Duration: 54 min.","","Nakajima Satoru","Kaneko Shigeki","Ikuta Toma,Yasuda Ken,Koike Eiko,Kiyohara Kaya,Harada Mieko,Nishimura Masahiko"
"https://mydramalist.com//39017-call-it-like-you-see-it","Tell Me What You Saw","8.2","Korean",2020,16,"Thriller,Mystery","Duration: 60 min.","Viki","Thriller,Mystery","Lee Joon Hyeong","Jang Hyuk,Choi Soo Young,Jin Seo Yun,Jang Hyun Sung,Ryu Seung Soo,Shin Soo Ho"
"https://mydramalist.com//2961-vampire-prosecutor","Vampire Prosecutor","8.2","Korean",2011,12,"Action,Mystery,Drama,Supernatural","Duration: 58 min.","","Han Jung Hoon,Yang Jin Ah","","Yeon Jung Hoon,Lee Young Ah,Lee Won Jong,Kim Joo Young,Jang Hyun Sung,Park Jae Hoon"
"https://mydramalist.com//78817-papa-and-daddy","Papa & Daddy","8.2","Taiwanese",2021,6,"Comedy,Romance,Life,Drama,Family","Content Rating: 15+ - Teens 15 or older","WeTV","Nancy Chen","","Melvin Sia,Mike Lin,Jozie Lu,Chao Yi Lan,Wang Tzu Chiang,Nelson Yeh"
"https://mydramalist.com//9288-youre-all-surrounded","You're All Surrounded","8.2","Korean",2014,20,"Action,Mystery,Comedy,Drama","Duration: 60 min.","Netflix,Viki,SBS World,Apple TV,Kocowa","Lee Myung Woo,Yoo In Shik","","Lee Seung Gi,Go Ah Ra,Cha Seung Won,Oh Yoon Ah,Ahn Jae Hyun,Park Jung Min"
"https://mydramalist.com//24275-the-eternal-love","The Eternal Love","8.2","Chinese",2017,24,"Historical,Comedy,Romance,Fantasy","Duration: 36 min.","WeTV,Viki,YoYo English Channel,YoYo TV","Yuen Tak","","Xing Zhao Lin,Liang Jie,Wang Rui Chang,Amy Sun,Xin Rui Qi,Zhong Qi"
"https://mydramalist.com//48135-trab-fah-mee-tawan","My Forever Sunshine","8.2","Thai",2020,19,"Friendship,Comedy,Romance,Drama","Duration: 1 hr. 30 min.","WeTV,Ch3Thailand","Toto Panathee Suppasaksutat","Chudapa Chantakett","Mark Prin Suparat,Kao Supassara Thanachart,Punjan Kawin Imanothai,Lingling Sirilak Kwong,Freud Chatphong Natthaphong,Prawfar Karanchida Khumsuwan"
